id,correlation,intersection,chisquare,bhattacharyya,mark
4,0.9999,2.8971,0.0669,0.0566,10
5,1.0000,2.4817,0.0000,0.0015,9
6,1.0000,1.8645,0.0001,0.0019,10
8,1.0000,1.1009,0.0001,0.0040,9
9,1.0000,1.1138,0.0000,0.0000,10
10,0.9337,1.0666,1.3282,0.4616,10
11,1.0000,1.0352,0.0000,0.0000,10
12,1.0000,1.6849,0.0277,0.0454,9
13,1.0000,1.1934,0.0001,0.0023,9
14,1.0000,1.4576,0.0000,0.0000,10
15,1.0000,4.4890,0.0000,0.0000,10
16,1.0000,2.3896,0.0000,0.0009,10
17,0.9290,1.0227,1.5299,0.6803,10
18,1.0000,1.1135,0.0004,0.0057,10
19,1.0000,1.0268,0.0001,0.0041,10
20,1.0000,1.8018,0.0000,0.0000,10
21,1.0000,3.4131,0.0034,0.0116,7
23,1.0000,2.9050,0.0000,0.0000,10
24,1.0000,3.4935,0.0000,0.0000,10
25,1.0000,1.2956,0.0000,0.0000,10
28,1.0000,1.6063,0.0000,0.0000,10
29,1.0000,2.4780,0.0000,0.0000,10
30,1.0000,3.0829,0.0000,0.0000,10
32,1.0000,1.5062,0.0000,0.0000,10
33,0.9996,2.8527,0.3358,0.0826,2
34,1.0000,1.5989,0.0000,0.0000,10
35,0.9998,1.0092,3.0326,0.2329,2
36,0.9999,2.7320,0.0646,0.0590,9
37,1.0000,1.2350,0.0033,0.0141,9
38,1.0000,1.6245,0.0002,0.0035,10
39,1.0000,1.0438,0.0000,0.0000,9
40,1.0000,2.4707,0.0002,0.0041,9
42,1.0000,1.0712,0.0021,0.0164,9
43,1.0000,1.0671,0.0000,0.0000,10
44,1.0000,1.6392,0.0000,0.0000,10
45,1.0000,1.0414,0.0007,0.0120,10
46,1.0000,1.6503,0.0000,0.0000,10
47,1.0000,3.1232,0.0000,0.0000,10
48,1.0000,2.5386,0.0000,0.0000,10
49,1.0000,1.5190,0.0000,0.0018,10
50,1.0000,1.0363,0.0000,0.0000,10
51,1.0000,1.5373,0.0001,0.0022,10
52,1.0000,1.1493,0.0003,0.0068,10
53,1.0000,1.1048,0.0033,0.0192,3
54,0.9999,1.5718,0.1327,0.0974,3
55,1.0000,1.0484,0.0029,0.0172,9
56,1.0000,1.5935,0.0000,0.0008,9
57,1.0000,1.6063,0.0000,0.0000,10
58,1.0000,1.5559,0.0000,0.0000,10
59,1.0000,1.1869,0.0001,0.0030,10
60,0.9999,2.7322,0.0487,0.0462,5
61,1.0000,1.1808,0.0005,0.0073,10
62,0.9999,1.0806,0.2132,0.1265,10
63,1.0000,1.0855,0.0001,0.0033,10
65,0.9999,1.1629,0.1696,0.1185,3
66,1.0000,1.0550,0.0002,0.0078,10
67,1.0000,2.5644,0.0001,0.0016,10
68,1.0000,2.5034,0.0000,0.0011,10
69,0.9999,2.6627,0.0634,0.0490,9
70,1.0000,1.5219,0.0002,0.0038,10
71,1.0000,1.2301,0.0026,0.0109,10
72,1.0000,1.3684,0.0007,0.0082,10
73,1.0000,3.3146,0.0000,0.0006,9
74,1.0000,3.2432,0.0000,0.0012,7
75,1.0000,1.0674,0.0019,0.0150,9
76,1.0000,1.0526,0.0007,0.0070,10
78,1.0000,1.0554,0.0002,0.0060,10
79,1.0000,1.7684,0.0002,0.0040,9
80,0.9999,1.8061,0.0609,0.0560,5
81,0.9999,1.8851,0.0482,0.0519,6
82,0.8205,2.0457,9.9999,0.3315,5
83,1.0000,1.9950,0.0004,0.0063,9
84,1.0000,2.4289,0.0000,0.0004,10
85,1.0000,1.9299,0.0003,0.0041,9
87,1.0000,1.8481,0.0002,0.0040,9
88,1.0000,1.9561,0.0003,0.0040,9
89,1.0000,1.8124,0.0000,0.0014,10
90,1.0000,1.9327,0.0336,0.0459,9
91,1.0000,2.2761,0.0005,0.0074,9
92,1.0000,2.0203,0.0003,0.0047,9
93,1.0000,1.9069,0.0000,0.0006,9
94,1.0000,1.8632,0.0003,0.0046,9
95,1.0000,2.3667,0.0016,0.0087,9
96,1.0000,1.7849,0.0003,0.0061,9
97,0.9999,1.7198,0.0066,0.0209,9
99,1.0000,2.2155,0.0000,0.0006,9
100,1.0000,1.8947,0.0002,0.0044,9
102,1.0000,2.0922,0.0002,0.0040,9
103,1.0000,2.2289,0.0000,0.0015,9
104,1.0000,1.8144,0.0003,0.0049,9
105,1.0000,1.9459,0.0002,0.0040,9
106,1.0000,1.9557,0.0000,0.0005,10
107,0.9999,2.0133,0.0930,0.0597,5
108,0.9999,1.6793,0.0710,0.0699,3
109,1.0000,1.5295,0.0000,0.0007,10
110,0.9999,1.6868,0.0908,0.0801,9
111,1.0000,1.0892,0.0000,0.0000,10
112,1.0000,1.9177,0.0000,0.0017,10
113,1.0000,2.2256,0.0003,0.0037,10
114,1.0000,1.0317,0.0001,0.0039,10
115,1.0000,1.0556,0.0000,0.0000,10
116,0.9996,1.9954,0.6931,0.1676,5
117,0.9999,1.9533,0.0797,0.0581,9
118,1.0000,1.0397,0.0000,0.0000,10
120,1.0000,1.3088,0.0001,0.0024,10
121,0.9966,5.1765,0.4545,0.0920,5
122,1.0000,3.2669,0.0000,0.0007,10
123,1.0000,2.1940,0.0000,0.0008,9
124,1.0000,2.1413,0.0000,0.0003,10
125,1.0000,2.2924,0.0000,0.0008,10
126,1.0000,1.9854,0.0000,0.0005,10
127,0.9951,2.4374,2.2778,0.2778,3
130,1.0000,1.8233,0.0000,0.0000,10
131,1.0000,1.6067,0.0000,0.0000,10
132,1.0000,3.2181,0.0000,0.0004,10
133,1.0000,1.0646,0.0004,0.0068,10
134,1.0000,1.7695,0.0000,0.0011,10
135,1.0000,1.1916,0.0000,0.0012,10
136,1.0000,2.5386,0.0000,0.0000,10
137,1.0000,2.2573,0.0000,0.0009,10
138,1.0000,1.2586,0.0000,0.0021,10
139,1.0000,1.0784,0.0000,0.0000,10
140,1.0000,2.6713,0.0000,0.0000,10
141,1.0000,1.8959,0.0000,0.0000,10
142,1.0000,2.0651,0.0000,0.0015,9
143,1.0000,1.4920,0.0002,0.0038,10
144,1.0000,2.1194,0.0000,0.0004,10
145,1.0000,1.9750,0.0000,0.0015,10
147,1.0000,2.8748,0.0000,0.0000,10
148,1.0000,1.5175,0.0001,0.0030,9
149,1.0000,1.1028,0.0001,0.0038,9
150,1.0000,1.8886,0.0000,0.0013,9
151,1.0000,1.8321,0.0001,0.0020,9
152,0.9999,1.4189,0.1267,0.1095,3
153,1.0000,1.9699,0.0000,0.0006,9
155,1.0000,2.2472,0.0000,0.0008,10
156,1.0000,2.0072,0.0000,0.0005,9
157,1.0000,1.0471,0.0002,0.0057,10
158,1.0000,1.1088,0.0000,0.0000,10
159,1.0000,1.2210,0.0001,0.0024,10
160,1.0000,2.0156,0.0000,0.0009,10
161,1.0000,1.1608,0.0001,0.0029,10
163,1.0000,1.2100,0.0000,0.0022,10
164,1.0000,1.0260,0.0001,0.0030,10
165,1.0000,1.1503,0.0000,0.0015,10
166,1.0000,1.8252,0.0000,0.0007,10
167,1.0000,2.3688,0.0000,0.0016,9
168,0.9997,3.0479,0.1221,0.0858,3
169,0.9999,1.5847,0.1896,0.0995,4
170,0.9998,1.6733,0.1998,0.0994,9
171,0.9999,1.1855,0.2595,0.1215,5
172,0.9998,1.3665,0.0143,0.0301,3
173,0.9992,1.5911,3.7729,0.3237,3
174,0.9999,1.3081,0.1193,0.1002,6
175,1.0000,1.4586,0.0394,0.0619,4
176,0.9997,1.1834,0.1647,0.1408,3
177,0.9999,1.9474,0.0743,0.0693,6
178,1.0000,1.1033,0.1774,0.0480,4
179,0.9999,1.9826,0.0330,0.0476,9
180,0.9998,4.7374,0.0049,0.0052,10
181,1.0000,1.1409,0.0080,0.0334,9
182,1.0000,1.1409,0.0080,0.0334,9
183,1.0000,1.1409,0.0080,0.0334,10
184,0.9518,1.1729,1.0534,0.6162,1
185,0.9931,1.0139,9.9999,0.6065,1
186,0.9546,1.1794,1.0115,0.6173,1
187,0.9508,1.1254,9.9999,0.4926,1
188,0.9515,1.1246,9.9999,0.5537,1
189,0.9546,1.1787,0.9996,0.6122,1
190,1.0000,3.6548,0.0001,0.0012,10
191,1.0000,3.0959,0.0001,0.0016,10
192,1.0000,3.2165,0.0001,0.0015,10
193,0.9996,1.8708,0.5704,0.0684,5
